Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
518,765,899,792,1367,3027,4542
261,367,507,459,760,2479,2936
238,304,371,342,513,1577,1590
571,516,585,567,736,1013,1052
1021,887,1003,861,932,706,685
1619,1734,1990,1454,1382,704,593
2974,3766,4230,3179,2836,844,669
3888,5304,5647,4159,3943,1110,873
3138,4594,5242,3616,3648,1372,1233
2211,2962,3846,2654,2732,1764,1770
1953,2900,3844,2370,2599,2086,2113
1929,2949,3889,2516,2816,2315,2360
1945,2819,3988,2657,2978,2560,2478
2294,3556,4469,3301,3535,2685,2763
3117,4489,5438,4083,4087,3042,2934
3818,6042,7071,5182,5354,4457,3400
4962,7521,8213,6149,6259,5410,3489
5574,8297,9151,6951,6790,5558,3154
4725,7089,8334,6637,7258,6165,2795
4386,6459,7794,5929,6247,5529,2579
3573,6310,7783,6345,5165,4792,2276
3079,5993,6921,6585,6265,5811,2310
1976,3614,4845,5370,6708,6493,1639
1091,1948,2571,2909,5393,5719,1018
