tpep_pickup_hour,VendorID,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,total_amount,duration,price/km
0,1.5589315525876462,1.7395659432387311,3.220217028380634,-73.97951304287814,40.744789618988314,-73.9705592160334,40.746412659993325,12.395949916527547,1.7257562604340568,15.564797996661103,10.535559265442403,4.833462421782251
1,1.546188793538617,1.718324078748107,3.331428571428572,-73.9797248205048,40.742961199959616,-73.96708946476528,40.746537450782434,12.366597677940433,1.5887380111055023,15.351898031297324,10.21049974760222,4.6082026680566575
2,1.608832807570978,1.7318611987381702,3.358028391167192,-73.98225134493691,40.74490127815457,-73.96661240963722,40.74754742041009,12.555205047318612,1.5567823343848581,15.485520504731861,9.908517350157728,4.611491834156102
3,1.6588235294117648,1.8352941176470587,3.4830784313725487,-73.98476629829412,40.74429518017647,-73.9662764607451,40.743323546843136,13.005392156862746,1.4216470588235293,15.857372549019608,10.425490196078432,4.552688910531027
4,2.0,2.383720930232558,4.688546511627907,-73.98042889526162,40.748472424593025,-73.95863042866279,40.744912424593025,16.135174418604652,1.6440406976744184,19.58877906976744,11.80813953488372,4.178006770581452
5,1.3643835616438356,1.4757990867579909,3.867497716894977,-73.9706568750137,40.749846133652966,-73.96231359190868,40.7488053520274,13.61552511415525,1.9172237442922375,17.349954337899543,9.417351598173516,4.486092974821189
6,1.3571895424836602,1.434967320261438,3.193754901960784,-73.9722686393366,40.7516393399902,-73.96863593063725,40.75165440419608,12.035709150326797,1.62781045751634,14.90807843137255,9.819934640522876,4.6678843208099146
7,1.5883524141363863,1.6545545047287207,2.740199104031857,-73.97255617919612,40.75547340510204,-73.97351160800896,40.75504044352166,11.497386759581882,1.555251368840219,14.10898705823793,11.115231458437034,5.148891201912423
8,1.577731457356262,1.6562445718256036,2.366619767239882,-73.97480083342714,40.754875121504256,-73.97729697865208,40.753475990924095,11.508163974292167,1.602768803196109,14.108785825951015,12.856348792774014,5.961576938236121
9,1.6181184668989548,1.6817653890824622,2.325005807200929,-73.97732855139837,40.754004556699186,-73.9788397777143,40.7514026699396,11.734494773519163,1.5806132404181183,14.294826945412312,13.344947735191637,6.148297307963214
10,1.4339760800585795,1.5225774957285818,2.3904906028801562,-73.97490217835734,40.754808511161826,-73.97724310447644,40.753450078437886,11.838491579204296,1.5059336099585063,14.385218452526239,13.068342689773004,6.017684585412872
11,1.4431743240272588,1.5491316772917125,2.3659859309738405,-73.97660661930755,40.75483303361618,-73.97629511399649,40.75378384600791,11.826590459441636,1.4995669377885248,14.34522312596175,13.368212794020664,6.063105844444837
12,1.4874644611010597,1.5753424657534247,2.579984492116826,-73.97565435357198,40.754725012928404,-73.97354359840011,40.75362759575342,12.255569914706644,1.56222021194107,14.917728095115017,13.264926337554924,5.782099908234455
13,1.4401081916537868,1.5770865533230294,2.614252318392581,-73.97647291801005,40.754226728015844,-73.97401095988408,40.75284344414606,12.366966769706337,1.649258114374034,15.157982998454406,13.414799072642968,5.798209641743593
14,1.444364680545585,1.5970327829624311,2.8188681502751853,-73.97279276484088,40.75401535903327,-73.97146812745393,40.75343422800909,12.93649437664513,1.7026346015793252,15.812203876525484,13.733668341708542,5.60941591928727
15,1.552932928254265,1.700163589623744,2.9178990418322037,-73.97213833197944,40.754386784218276,-73.97058543005842,40.75542559694321,13.386242112643142,1.7544683337228324,16.405758354755786,13.881748071979434,5.6224557873854
16,1.6073478760045925,1.727898966704937,3.0255125471543383,-73.96880374742332,40.75359314949483,-73.97079595533212,40.755397455630636,13.383682138756765,1.8562571756601607,17.45977693947843,13.837953091684435,5.7708492916019525
17,1.6231055900621119,1.7602484472049689,2.708601242236025,-73.97042676461119,40.75401816612919,-73.97289895377143,40.755791693314286,12.405510559006212,1.6901142857142857,16.18537391304348,13.420124223602485,5.975546957839394
18,1.5837848685530804,1.7041942604856513,2.546612482440297,-73.97390539765804,40.75374532227573,-73.97611740451535,40.75506696063416,11.795867951033513,1.6688942404174194,15.499709010636163,13.050371262291792,6.0864026692367155
19,1.5583238958097396,1.6715741789354472,2.5853971849215336,-73.97572988256593,40.750706461399446,-73.97729794599418,40.75163926754894,11.410622876557191,1.6799417569972495,15.095091409157094,11.71056463355444,5.838596675665224
20,1.5913056558363416,1.7379663056558363,2.919339651022864,-73.9758605199248,40.74974213259476,-73.97618576536402,40.75034075669525,12.017110409145607,1.7951278580024068,15.350959687123948,11.778128760529482,5.258367138522355
21,1.5115681233933163,1.6649528706083976,3.1485826906598113,-73.975186345515,40.749104143686374,-73.97394196844903,40.75081231149615,12.515561268209083,1.834407883461868,15.899890317052272,11.65809768637532,5.049856357344174
22,1.6414473684210527,1.7652138157894737,3.2304399671052635,-73.97673952266584,40.74643483125274,-73.97389075107318,40.748135237845396,12.68968475877193,1.8684895833333333,16.093637609649125,11.865816885964913,4.981871749212641
23,1.6494319117404908,1.7487238597068995,3.382265766507492,-73.97651231664416,40.74548486829903,-73.97151396776059,40.7468487641561,13.147039354520007,1.9238531203688456,16.609148690927054,11.7487238597069,4.910657481560819
